epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4241.64,1.1842,0.51784,0.83309,0.99897,1,0.995,0.66794,1.16288,0.49394,0.8852,0.000416,0.000416,0.000416
42,4314.43,1.19369,0.53677,0.85709,0.99893,1,0.995,0.67947,1.1797,0.5016,0.88626,0.0003764,0.0003764,0.0003764
43,4386.03,1.08115,0.49747,0.83336,0.99896,1,0.995,0.685,1.18948,0.48847,0.88181,0.0003368,0.0003368,0.0003368
44,4457.23,1.08728,0.50759,0.8457,0.99898,1,0.995,0.68184,1.17143,0.51215,0.88072,0.0002972,0.0002972,0.0002972
45,4529,1.10283,0.50314,0.85422,0.999,1,0.995,0.68047,1.1802,0.52188,0.88164,0.0002576,0.0002576,0.0002576
46,4599.66,1.04724,0.49251,0.82856,0.99903,1,0.995,0.67393,1.18997,0.49728,0.88239,0.000218,0.000218,0.000218
47,4672.11,1.09761,0.50498,0.84538,0.99908,1,0.995,0.69205,1.15653,0.49156,0.87959,0.0001784,0.0001784,0.0001784
48,4743.37,1.08064,0.49547,0.82876,0.99908,1,0.995,0.68968,1.14438,0.47492,0.87936,0.0001388,0.0001388,0.0001388
49,4814.45,1.02421,0.47254,0.819,0.99907,1,0.995,0.68055,1.16262,0.47694,0.88402,9.92e-05,9.92e-05,9.92e-05
50,4885.79,1.08071,0.50615,0.84351,0.99904,1,0.995,0.67256,1.1775,0.48001,0.88666,5.96e-05,5.96e-05,5.96e-05
