epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7848,1.66116,7.40999,0.9042,0.91754,0.98188,0.97669,0.54106,1.38829,1.73392,0.92379,0.000657005,0.000657005,0.000657005
2,139.946,1.91417,1.72813,0.92695,0.94218,0.95857,0.97836,0.51346,1.56912,0.96775,0.96293,0.00129746,0.00129746,0.00129746
3,210,1.71896,1.07999,0.9217,0.95703,0.98529,0.98533,0.48778,1.6021,0.9804,0.99691,0.00191152,0.00191152,0.00191152
4,299.59,1.89965,1.06245,0.93326,0.86512,0.89706,0.86894,0.39723,1.77543,0.82909,0.99622,0.0018812,0.0018812,0.0018812
5,416.335,1.66826,0.88814,0.91165,0.98204,1,0.99442,0.58607,1.40467,0.7546,0.92448,0.0018416,0.0018416,0.0018416
6,531.189,1.94744,0.89481,0.91437,0.93087,0.97059,0.9574,0.48483,1.60431,0.76992,0.96329,0.001802,0.001802,0.001802
7,647.519,1.8499,0.86165,0.94577,0.9668,1,0.99129,0.64011,1.31326,0.66742,0.91299,0.0017624,0.0017624,0.0017624
8,759.537,1.60668,0.7918,0.92697,0.96898,1,0.99219,0.53983,1.44589,0.68487,0.95213,0.0017228,0.0017228,0.0017228
9,872.148,1.90667,0.80671,0.9407,0.99681,1,0.995,0.59747,1.36777,0.68217,0.92305,0.0016832,0.0016832,0.0016832
10,987.606,1.65769,0.79593,0.88731,0.95379,0.95588,0.9591,0.55204,1.47486,0.6946,0.93357,0.0016436,0.0016436,0.0016436
11,1103.49,1.60763,0.69863,0.94533,0.96897,0.97059,0.98287,0.59594,1.37863,0.63004,0.92105,0.001604,0.001604,0.001604
12,1221.73,1.57158,0.68036,0.89617,0.95414,0.95588,0.94398,0.51917,1.5536,0.72746,0.95487,0.0015644,0.0015644,0.0015644
13,1335.76,1.662,0.75407,0.90066,0.99707,1,0.995,0.64203,1.26707,0.62406,0.90247,0.0015248,0.0015248,0.0015248
14,1450.91,1.5292,0.7312,0.8827,0.99772,1,0.995,0.63132,1.31639,0.61483,0.91726,0.0014852,0.0014852,0.0014852
15,1566.67,1.61094,0.72834,0.89193,0.99868,1,0.995,0.61411,1.29465,0.62306,0.9107,0.0014456,0.0014456,0.0014456
16,1680.53,1.59071,0.73872,0.90848,0.98504,0.98529,0.99444,0.6014,1.42776,0.6365,0.91368,0.001406,0.001406,0.001406
17,1795.77,1.50902,0.68472,0.8935,0.9986,1,0.995,0.62969,1.26505,0.57745,0.89804,0.0013664,0.0013664,0.0013664
18,1910.11,1.42361,0.67389,0.88336,0.98415,0.98529,0.98386,0.56831,1.35215,0.58933,0.91877,0.0013268,0.0013268,0.0013268
19,2023.77,1.47089,0.67723,0.89416,1,0.99965,0.995,0.64446,1.24927,0.59341,0.90496,0.0012872,0.0012872,0.0012872
20,2140.53,1.45859,0.71405,0.87456,0.99681,1,0.995,0.56615,1.37782,0.66175,0.91297,0.0012476,0.0012476,0.0012476
21,2249.74,1.5016,0.69349,0.88688,0.99846,1,0.995,0.59705,1.40003,0.62509,0.9244,0.001208,0.001208,0.001208
22,2366.08,1.37509,0.61752,0.86745,0.99892,1,0.995,0.64855,1.23854,0.57921,0.89302,0.0011684,0.0011684,0.0011684
23,2485.77,1.29564,0.62163,0.85882,0.9927,1,0.995,0.66853,1.22969,0.56623,0.891,0.0011288,0.0011288,0.0011288
24,2600.76,1.37968,0.64495,0.86986,0.99629,1,0.995,0.63741,1.40683,0.63212,0.91992,0.0010892,0.0010892,0.0010892
25,2716.06,1.47813,0.65937,0.8523,0.99481,1,0.995,0.64962,1.28061,0.59874,0.89505,0.0010496,0.0010496,0.0010496
26,2832.68,1.27926,0.62798,0.87356,0.9792,0.98529,0.99114,0.61353,1.35434,0.60885,0.9081,0.00101,0.00101,0.00101
27,2947.31,1.3585,0.62256,0.88244,0.99572,1,0.995,0.62317,1.21609,0.54997,0.88515,0.0009704,0.0009704,0.0009704
28,3062.53,1.29395,0.59057,0.8912,0.95648,0.96956,0.96819,0.67528,1.23447,0.56651,0.8916,0.0009308,0.0009308,0.0009308
29,3178.01,1.30135,0.5759,0.87984,0.99891,1,0.995,0.63608,1.27282,0.53357,0.89631,0.0008912,0.0008912,0.0008912
30,3291.92,1.23782,0.55555,0.8501,0.99901,1,0.995,0.62695,1.23717,0.56469,0.89463,0.0008516,0.0008516,0.0008516
31,3406.74,1.35792,0.62438,0.87465,0.99899,1,0.995,0.64249,1.26872,0.52498,0.89774,0.000812,0.000812,0.000812
32,3522.55,1.25362,0.60703,0.87806,0.99894,1,0.995,0.66673,1.20084,0.55156,0.88471,0.0007724,0.0007724,0.0007724
33,3637.89,1.21215,0.57727,0.85626,0.99892,1,0.995,0.66257,1.21192,0.53626,0.88647,0.0007328,0.0007328,0.0007328
34,3732.52,1.24799,0.60291,0.86586,0.99893,1,0.995,0.64087,1.25006,0.53936,0.89344,0.0006932,0.0006932,0.0006932
35,3804,1.23649,0.57158,0.84982,0.99891,1,0.995,0.64709,1.18199,0.51903,0.88612,0.0006536,0.0006536,0.0006536
36,3876.16,1.25339,0.55932,0.8462,0.99894,1,0.995,0.62115,1.32768,0.55271,0.90372,0.000614,0.000614,0.000614
37,3948.21,1.19254,0.52787,0.8637,0.99898,1,0.995,0.66014,1.1683,0.50969,0.88489,0.0005744,0.0005744,0.0005744
38,4021.76,1.21709,0.54603,0.83908,0.99899,1,0.995,0.66298,1.15121,0.4906,0.87862,0.0005348,0.0005348,0.0005348
39,4095.94,1.11665,0.49576,0.83006,0.99897,1,0.995,0.64117,1.21687,0.50687,0.88968,0.0004952,0.0004952,0.0004952
40,4169.26,1.13084,0.54042,0.83668,0.99904,1,0.995,0.66893,1.1482,0.49671,0.88321,0.0004556,0.0004556,0.0004556
