ID,offset (m)
1,0.07437474940223064
2,0.1472131493532965
3,0.41242125371906607
4,0.18555137922599987
5,0.5026308902256461
6,0.41798949048705053
7,0.22461362036349763
8,0.06867307533521948
9,0.1334453462355448
10,0.1407820909468857
11,0.19255176855551434
12,0.09085950240837203
13,0.2580258440175456
14,0.2500039073418435
15,0.09467334158145554
16,0.5175410286881185
17,0.2391282369381703
18,0.23913212996026104
19,0.28303190200628486
20,0.33588474529667695
21,0.3686930683708087
22,0.10859532873429281
23,0.4872386271127537
24,0.07560049920122253
25,0.3062339224845705
26,0.11157911086586936
27,0.4132273639940757
28,0.10239465909794791
29,0.24950154508445288
30,0.13853389043570655
