throw_id,t,x_raw,y_raw,z_raw,vel_x_ground_truth,vel_y_ground_truth,vel_z_ground_truth,vel_x_measured,vel_y_measured,vel_z_measured
3,0.033333333,-0.006181044,1.04746228,0.936275665,-0.715300766,-4.127626824,-2.10303228,-0.58829604,-3.799020419,-1.443479807
3,0.05,-0.020342665,0.98471543,0.912419763,-0.715300766,-4.127626824,-2.180485011,-0.849697258,-3.764811024,-1.431354097
3,0.066666667,-0.032648993,0.919782987,0.881749737,-0.715300766,-4.127626824,-2.257937742,-0.738379718,-3.895946591,-1.840201555
3,0.083333333,-0.046530946,0.847800336,0.845733442,-0.715300766,-4.127626824,-2.335390473,-0.832917162,-4.318959048,-2.160977738
3,0.1,-0.058081034,0.783233387,0.80883655,-0.715300766,-4.127626824,-2.412843204,-0.693005249,-3.874016943,-2.213813531
3,0.116666667,-0.070294559,0.717402641,0.773073408,-0.715300766,-4.127626824,-2.490295934,-0.732811534,-3.949844765,-2.145788513
3,0.133333333,-0.080292205,0.649614666,0.731609122,-0.715300766,-4.127626824,-2.567748665,-0.599858741,-4.067278512,-2.487857118
3,0.15,-0.09516229,0.575090724,0.685845353,-0.715300766,-4.127626824,-2.645201396,-0.892205102,-4.471436529,-2.745826165
3,0.166666667,-0.108053396,0.507826109,0.638737178,-0.715300766,-4.127626824,-2.722654127,-0.773466363,-4.035876878,-2.826490501
3,0.183333333,-0.119881359,0.437368351,0.588219855,-0.715300766,-4.127626824,-2.800106857,-0.709677797,-4.227465498,-3.031039353
3,0.2,-0.132735867,0.363670782,0.53317262,-0.715300766,-4.127626824,-2.877559588,-0.771270443,-4.421854142,-3.302834106
3,0.216666667,-0.143334093,0.294609351,0.477241662,-0.715300766,-4.127626824,-2.955012319,-0.635893602,-4.143685861,-3.355857525
3,0.233333333,-0.155914508,0.217586717,0.418289101,-0.715300766,-4.127626824,-3.03246505,-0.754824866,-4.621358017,-3.537153608
3,0.25,-0.166222643,0.144601635,0.352814446,-0.715300766,-4.127626824,-3.10991778,-0.618488102,-4.37910489,-3.928479356
3,0.266666667,-0.176530778,0.071616554,0.28733979,-0.715300766,-4.127626824,-3.187370511,-0.618488102,-4.37910489,-3.928479356
3,0.283333333,-0.188714862,-0.002333517,0.224817001,-0.715300766,-4.127626824,-3.264823242,-0.73104505,-4.437004249,-3.751367336
3,0.3,-0.196413149,-0.071707548,0.159420994,-0.715300766,-4.127626824,-3.342275973,-0.461897215,-4.162441873,-3.923760381
